soc_code,title,emp_2014_thousands,emp_2024_projected_thousands
11-1011,Chief executives,343.4,339.4
11-1021,General and operations managers,2124.1,2275.2
11-1031,Legislators,58.3,57.9
11-2011,Advertising and promotions managers,31.0,32.4
11-2021,Marketing managers,194.3,212.5
11-2022,Sales managers,376.3,395.3
11-2031,Public relations and fundraising managers,65.8,70.5
11-3011,Administrative services managers,287.3,310.8
11-3021,Computer and information systems managers,348.5,402.2
11-3031,Financial managers,555.9,593.5
11-3051,Industrial production managers,173.4,167.0
11-3061,Purchasing managers,73.0,73.7
11-3071,"Transportation, storage, and distribution managers",111.6,114.1
11-3111,Compensation and benefits managers,16.9,18.0
11-3121,Human resources managers,122.5,133.3
11-3131,Training and development managers,32.9,35.2
11-9013,"Farmers, ranchers, and other agricultural managers",929.8,911.7
11-9021,Construction managers,373.2,391.1
11-9031,"Education administrators, preschool and childcare center/program",64.0,68.2
11-9032,"Education administrators, elementary and secondary school",240.0,254.0
11-9033,"Education administrators, postsecondary",175.1,190.3
11-9039,"Education administrators, all other",37.8,39.3
11-9041,Architectural and engineering managers,182.1,185.8
11-9051,Food service managers,305.0,320.7
11-9061,Funeral service managers,29.3,30.3
11-9071,Gaming managers,3.8,3.8
11-9081,Lodging managers,48.4,52.1
11-9111,Medical and health services managers,333.0,389.3
11-9121,Natural sciences managers,55.1,56.9
11-9131,Postmasters and mail superintendents,17.3,12.8
11-9141,"Property, real estate, and community association managers",313.8,339.1
11-9151,Social and community service managers,138.5,151.7
11-9161,Emergency management directors,10.5,11.2
11-9199,"Managers, all other",985.6,1023.6
13-1011,"Agents and business managers of artists, performers, and athletes",19.7,20.2
13-1021,"Buyers and purchasing agents, farm products",12.9,13.5
13-1022,"Wholesale and retail buyers, except farm products",129.5,137.5
13-1023,"Purchasing agents, except wholesale, retail, and farm products",300.8,299.3
13-1031,"Claims adjusters, examiners, and investigators",299.7,309.5
13-1032,"Insurance appraisers, auto damage",15.5,15.4
13-1041,Compliance officers,260.3,269.0
13-1051,Cost estimators,213.5,232.3
13-1071,Human resources specialists,482.0,503.9
13-1074,Farm labor contractors,0.1,0.1
13-1075,Labor relations specialists,82.1,75.6
13-1081,Logisticians,130.4,132.9
13-1111,Management analysts,758.0,861.4
13-1121,"Meeting, convention, and event planners",100.0,109.9
13-1131,Fundraisers,73.4,80.3
13-1141,"Compensation, benefits, and job analysis specialists",84.7,88.1
13-1151,Training and development specialists,252.6,271.5
13-1161,Market research analysts and marketing specialists,495.5,587.8
13-1199,"Business operations specialists, all other",998.0,1046.0
13-2011,Accountants and auditors,1332.7,1475.1
13-2021,Appraisers and assessors of real estate,85.8,92.5
13-2031,Budget analysts,60.8,62.3
13-2041,Credit analysts,69.4,73.6
13-2051,Financial analysts,277.6,310.0
13-2052,Personal financial advisors,249.4,323.2
13-2053,Insurance underwriters,103.4,91.6
13-2061,Financial examiners,38.2,42.0
13-2071,Credit counselors,32.6,37.6
13-2072,Loan officers,303.2,327.7
13-2081,"Tax examiners and collectors, and revenue agents",67.9,63.7
13-2082,Tax preparers,90.4,91.8
13-2099,"Financial specialists, all other",145.2,152.3
15-1111,Computer and information research scientists,25.6,28.3
15-1121,Computer systems analysts,567.8,686.3
15-1122,Information security analysts,82.9,97.7
15-1131,Computer programmers,328.6,302.2
15-1132,"Software developers, applications",718.4,853.7
15-1133,"Software developers, systems software",395.6,447.0
15-1134,Web developers,148.5,188.0
15-1141,Database administrators,120.0,133.4
15-1142,Network and computer systems administrators,382.6,412.8
15-1143,Computer network architects,146.2,158.9
15-1151,Computer user support specialists,585.9,661.0
15-1152,Computer network support specialists,181.0,194.6
15-1199,"Computer occupations, all other",233.0,240.8
15-2011,Actuaries,24.6,29.0
15-2021,Mathematicians,3.5,4.2
15-2031,Operations research analysts,91.3,118.9
15-2041,Statisticians,30.0,40.1
15-2091,Mathematical technicians,1.2,1.1
15-2099,"Mathematical science occupations, all other",1.8,1.9
17-1011,"Architects, except landscape and naval",112.6,120.4
17-1012,Landscape architects,22.5,23.7
17-1021,Cartographers and photogrammetrists,12.3,15.9
17-1022,Surveyors,44.3,43.4
17-2011,Aerospace engineers,72.5,70.8
17-2021,Agricultural engineers,2.9,3.0
17-2031,Biomedical engineers,22.1,27.2
17-2041,Chemical engineers,34.3,34.9
17-2051,Civil engineers,281.4,305.0
17-2061,Computer hardware engineers,77.7,80.1
17-2071,Electrical engineers,178.4,180.2
17-2072,"Electronics engineers, except computer",137.4,135.5
17-2081,Environmental engineers,55.1,62.0
17-2111,"Health and safety engineers, except mining safety engineers and inspectors",25.2,26.8
17-2112,Industrial engineers,241.1,243.2
17-2121,Marine engineers and naval architects,8.3,9.0
17-2131,Materials engineers,25.3,25.6
17-2141,Mechanical engineers,277.5,292.1
17-2151,"Mining and geological engineers, including mining safety engineers",8.3,8.8
17-2161,Nuclear engineers,16.8,16.2
17-2171,Petroleum engineers,35.1,38.5
17-2199,"Engineers, all other",136.9,142.3
17-3011,Architectural and civil drafters,94.0,91.2
17-3012,Electrical and electronics drafters,30.1,31.7
17-3013,Mechanical drafters,65.7,61.2
17-3019,"Drafters, all other",14.7,14.2
17-3021,Aerospace engineering and operations technicians,11.4,11.8
17-3022,Civil engineering technicians,74.0,77.6
17-3023,Electrical and electronics engineering technicians,139.4,136.6
17-3024,Electro-mechanical technicians,14.7,14.8
17-3025,Environmental engineering technicians,18.6,20.4
17-3026,Industrial engineering technicians,66.5,63.5
17-3027,Mechanical engineering technicians,48.4,49.3
17-3029,"Engineering technicians, except drafters, all other",70.1,69.9
17-3031,Surveying and mapping technicians,57.3,52.9
19-1011,Animal scientists,2.9,3.2
19-1012,Food scientists and technologists,15.4,16.0
19-1013,Soil and plant scientists,17.7,18.9
19-1021,Biochemists and biophysicists,34.1,36.9
19-1022,Microbiologists,22.4,23.2
19-1023,Zoologists and wildlife biologists,21.3,22.2
19-1029,"Biological scientists, all other",36.4,36.2
19-1031,Conservation scientists,21.1,22.5
19-1032,Foresters,15.5,16.8
19-1041,Epidemiologists,5.8,6.1
19-1042,"Medical scientists, except epidemiologists",107.9,116.8
19-1099,"Life scientists, all other",10.6,11.3
19-2011,Astronomers,1.9,1.9
19-2012,Physicists,18.1,19.5
19-2021,Atmospheric and space scientists,11.8,12.9
19-2031,Chemists,91.1,93.5
19-2032,Materials scientists,7.3,7.5
19-2041,"Environmental scientists and specialists, including health",94.6,104.8
19-2042,"Geoscientists, except hydrologists and geographers",36.4,40.2
19-2043,Hydrologists,7.0,7.5
19-2099,"Physical scientists, all other",28.5,28.8
19-3011,Economists,21.5,22.7
19-3022,Survey researchers,16.7,18.7
19-3031,"Clinical, counseling, and school psychologists",155.3,185.9
19-3032,Industrial-organizational psychologists,2.0,2.3
19-3039,"Psychologists, all other",16.6,18.3
19-3041,Sociologists,2.6,2.5
19-3051,Urban and regional planners,38.0,40.4
19-3091,Anthropologists and archeologists,7.7,8.0
19-3092,Geographers,1.4,1.4
19-3093,Historians,3.5,3.5
19-3094,Political scientists,6.2,6.0
19-3099,"Social scientists and related workers, all other",35.6,34.9
19-4011,Agricultural and food science technicians,33.0,34.7
19-4021,Biological technicians,79.3,83.5
19-4031,Chemical technicians,66.5,67.7
19-4041,Geological and petroleum technicians,16.5,18.5
19-4051,Nuclear technicians,6.8,6.4
19-4061,Social science research assistants,32.0,33.8
19-4091,"Environmental science and protection technicians, including health",36.2,39.6
19-4092,Forensic science technicians,14.4,18.2
19-4093,Forest and conservation technicians,32.6,30.8
19-4099,"Life, physical, and social science technicians, all other",78.2,83.5
21-1011,Substance abuse and behavioral disorder counselors,94.9,116.2
21-1012,"Educational, guidance, school, and vocational counselors",273.4,295.9
21-1013,Marriage and family therapists,33.7,38.7
21-1014,Mental health counselors,134.5,160.9
21-1015,Rehabilitation counselors,120.1,130.9
21-1019,"Counselors, all other",31.0,34.4
21-1021,"Child, family, and school social workers",305.2,324.2
21-1022,Healthcare social workers,160.1,191.0
21-1023,Mental health and substance abuse social workers,117.8,140.0
21-1029,"Social workers, all other",66.4,68.9
21-1091,Health educators,61.4,68.9
21-1092,Probation officers and correctional treatment specialists,91.7,95.0
21-1093,Social and human service assistants,386.6,430.8
21-1094,Community health workers,54.3,62.4
21-1099,"Community and social service specialists, all other",102.7,111.1
21-2011,Clergy,244.2,258.0
21-2021,"Directors, religious activities and education",131.9,137.5
21-2099,"Religious workers, all other",55.9,58.5
23-1011,Lawyers,778.7,822.5
23-1012,Judicial law clerks,12.4,11.6
23-1021,"Administrative law judges, adjudicators, and hearing officers",15.0,14.5
23-1022,"Arbitrators, mediators, and conciliators",8.4,9.2
23-1023,"Judges, magistrate judges, and magistrates",29.7,29.9
23-2011,Paralegals and legal assistants,279.5,300.8
23-2091,Court reporters,20.8,21.1
23-2093,"Title examiners, abstractors, and searchers",71.1,70.8
23-2099,"Legal support workers, all other",52.6,52.4
25-1011,"Business teachers, postsecondary",106.8,116.2
25-1021,"Computer science teachers, postsecondary",43.4,47.2
25-1022,"Mathematical science teachers, postsecondary",63.5,73.9
25-1031,"Architecture teachers, postsecondary",9.1,9.9
25-1032,"Engineering teachers, postsecondary",46.0,52.0
25-1041,"Agricultural sciences teachers, postsecondary",12.1,12.8
25-1042,"Biological science teachers, postsecondary",64.3,74.8
25-1043,"Forestry and conservation science teachers, postsecondary",2.3,2.4
25-1051,"Atmospheric, earth, marine, and space sciences teachers, postsecondary",13.2,14.3
25-1052,"Chemistry teachers, postsecondary",26.6,30.7
25-1053,"Environmental science teachers, postsecondary",6.7,7.3
25-1054,"Physics teachers, postsecondary",17.7,20.4
25-1061,"Anthropology and archeology teachers, postsecondary",7.5,8.2
25-1062,"Area, ethnic, and cultural studies teachers, postsecondary",11.6,13.3
25-1063,"Economics teachers, postsecondary",17.3,18.9
25-1064,"Geography teachers, postsecondary",5.4,5.9
25-1065,"Political science teachers, postsecondary",21.6,23.7
25-1066,"Psychology teachers, postsecondary",47.3,54.7
25-1067,"Sociology teachers, postsecondary",20.7,23.9
25-1069,"Social sciences teachers, postsecondary, all other",12.9,15.1
25-1071,"Health specialties teachers, postsecondary",210.4,250.4
25-1072,"Nursing instructors and teachers, postsecondary",68.6,81.8
25-1081,"Education teachers, postsecondary",75.7,82.5
25-1082,"Library science teachers, postsecondary",5.6,6.0
25-1111,"Criminal justice and law enforcement teachers, postsecondary",17.4,21.1
25-1112,"Law teachers, postsecondary",21.1,25.7
25-1113,"Social work teachers, postsecondary",13.7,15.6
25-1121,"Art, drama, and music teachers, postsecondary",120.7,133.7
25-1122,"Communications teachers, postsecondary",36.0,39.5
25-1123,"English language and literature teachers, postsecondary",90.8,100.2
25-1124,"Foreign language and literature teachers, postsecondary",37.2,41.3
25-1125,"History teachers, postsecondary",29.2,32.1
25-1126,"Philosophy and religion teachers, postsecondary",30.7,34.2
25-1191,Graduate teaching assistants,159.2,169.1
25-1192,"Home economics teachers, postsecondary",4.3,3.8
25-1193,"Recreation and fitness studies teachers, postsecondary",22.1,24.3
25-1194,"Vocational education teachers, postsecondary",138.5,147.6
25-1199,"Postsecondary teachers, all other",232.3,254.0
25-2011,"Preschool teachers, except special education",441.0,470.6
25-2012,"Kindergarten teachers, except special education",159.4,168.9
25-2021,"Elementary school teachers, except special education",1358.0,1436.3
25-2022,"Middle school teachers, except special and career/technical education",627.5,664.2
25-2023,"Career/technical education teachers, middle school",13.7,14.6
25-2031,"Secondary school teachers, except special and career/technical education",961.6,1017.5
25-2032,"Career/technical education teachers, secondary school",79.6,79.9
25-2051,"Special education teachers, preschool",25.5,27.8
25-2052,"Special education teachers, kindergarten and elementary school",198.1,210.6
25-2053,"Special education teachers, middle school",93.0,98.5
25-2054,"Special education teachers, secondary school",134.0,141.9
25-2059,"Special education teachers, all other",40.4,43.3
25-3011,Adult basic and secondary education and literacy teachers and instructors,77.5,83.0
25-3021,Self-enrichment education teachers,348.7,402.2
25-3099,"Teachers and instructors, all other",982.5,1049.0
25-4011,Archivists,6.9,7.4
25-4012,Curators,13.1,14.1
25-4013,Museum technicians and conservators,11.3,11.9
25-4021,Librarians,143.1,145.7
25-4031,Library technicians,101.8,107.1
25-9011,Audio-visual and multimedia collections specialists,10.0,10.8
25-9021,Farm and home management advisors,10.8,11.9
