onet_soc_code,title,field,score_default,stars,percentile,moat,moat_score,model_standard,model_momentum,model_defensive,model_sharpe,model_equal,consensus_mean,consensus_spread,growth_pct_2024_34,median_pay_usd,ai_exposure,typical_education,skill_vector_estimated
29-1151.00,Nurse anesthetists,Healthcare,75,5,100,wide,0.9,75,95,91,86,81,86,20,8.6,223210,0.167,Master's degree,false
49-9051.00,Electrical power-line installers and repairers,Installation & repair,72,5,100,wide,0.81,72,83,85,94,78,82,22,6.6,92560,0,High school diploma or equivalent,false
29-1123.00,Physical therapists,Healthcare,72,5,100,wide,0.819,72,90,84,86,79,82,18,10.9,101020,0.191,Doctoral or professional degree,false
29-1071.00,Physician assistants,Healthcare,72,5,100,wide,0.775,72,98,80,78,80,82,26,20.4,133260,0.375,Master's degree,false
29-1131.00,Veterinarians,Healthcare,72,5,100,wide,0.752,72,93,80,82,79,81,21,9.6,125510,0.27,Doctoral or professional degree,false
11-9111.00,Medical and health services managers,Management,70,5,99,wide,0.738,70,96,77,76,78,79,26,23.2,117960,0.429,Bachelor's degree,false
29-1122.00,Occupational therapists,Healthcare,70,5,99,wide,0.773,70,91,79,80,77,79,21,13.8,98340,0.303,Master's degree,false
29-1041.00,Optometrists,Healthcare,70,5,99,wide,0.744,70,92,79,79,77,79,22,8,134830,0.3,Doctoral or professional degree,false
29-2032.00,Diagnostic medical sonographers,Healthcare,69,5,99,narrow,0.575,69,89,68,80,76,76,21,13,89340,0.303,Associate's degree,false
11-3031.00,Financial managers,Management,69,5,99,narrow,0.598,69,98,69,74,78,78,29,14.8,161700,0.481,Bachelor's degree,false
29-1161.00,Nurse midwives,Healthcare,69,5,99,wide,0.721,69,95,76,77,78,79,26,11.1,128790,0.39,Master's degree,false
29-1171.00,Nurse practitioners,Healthcare,69,5,99,narrow,0.671,69,98,72,74,78,78,29,40.1,129210,0.481,Master's degree,false
29-1126.00,Respiratory therapists,Healthcare,69,5,99,narrow,0.648,69,86,73,84,76,78,17,12.1,80450,0.202,Associate's degree,false
49-9081.00,Wind turbine service technicians,Installation & repair,69,5,99,wide,0.843,69,79,83,96,76,81,27,49.9,62580,0.043,Postsecondary nondegree award,false
15-2011.00,Actuaries,Computer & math,68,5,98,narrow,0.643,68,97,70,73,77,77,29,21.8,125770,0.5,Bachelor's degree,false
11-3021.00,Computer and information systems managers,Management,68,5,98,none,0.55,68,98,66,72,77,76,32,15.2,171200,0.53,Bachelor's degree,false
29-1292.00,Dental hygienists,Healthcare,68,5,98,none,0.528,68,84,68,82,75,75,16,7,94260,0.188,Associate's degree,false
31-2021.00,Physical therapist assistants,Healthcare support,68,5,98,wide,0.709,68,81,75,88,75,77,20,22,65510,0.154,Associate's degree,false
19-3033.00,Clinical and counseling psychologists,Science,67,5,98,wide,0.777,67,89,77,76,75,77,22,11.2,95830,0.37,Doctoral or professional degree,false
25-1071.00,"Health specialties teachers, postsecondary",Education,67,5,98,narrow,0.62,67,94,69,73,76,76,27,17.3,105620,0.475,Doctoral or professional degree,false
19-5011.00,Occupational health and safety specialists,Science,67,5,98,narrow,0.623,67,87,69,78,75,75,20,12.5,83910,0.333,Bachelor's degree,false
29-2091.00,Orthotists and prosthetists,Healthcare,67,5,98,wide,0.756,67,85,76,80,75,77,18,13.3,78310,0.276,Master's degree,false
49-2091.00,Avionics technicians,Installation & repair,66,5,97,wide,0.756,66,83,77,80,74,76,17,8.2,81390,0.24,Postsecondary nondegree award,false
53-2012.00,Commercial pilots,Transportation,66,5,97,wide,0.769,66,85,80,78,74,77,19,5.1,122670,0.239,Postsecondary nondegree award,false
11-9021.00,Construction managers,Management,66,5,97,wide,0.721,66,91,74,73,74,76,25,8.7,106980,0.444,Bachelor's degree,false
47-4021.00,Elevator and escalator installers and repairers,Construction,66,5,97,wide,0.864,66,83,85,80,74,78,19,5,106580,0.184,High school diploma or equivalent,false
13-1111.00,Management analysts,Business & finance,66,5,97,narrow,0.601,66,89,68,74,74,74,23,8.8,101190,0.405,Bachelor's degree,false
21-1013.00,Marriage and family therapists,Community & social service,66,5,97,wide,0.933,66,77,86,90,74,79,24,12.6,63780,0.111,Master's degree,false
31-2011.00,Occupational therapy assistants,Healthcare support,66,5,97,narrow,0.648,66,82,70,81,74,75,16,19.2,68340,0.267,Associate's degree,false
29-1127.00,Speech-language pathologists,Healthcare,66,5,97,narrow,0.581,66,90,66,73,74,74,24,15,95410,0.451,Master's degree,false
29-1291.00,Acupuncturists,Healthcare,65,5,96,wide,0.771,65,79,78,83,73,76,18,6.8,78140,0.167,Master's degree,false
15-1221.00,Computer and information research scientists,Computer & math,65,5,96,narrow,0.588,65,98,65,68,75,74,33,19.7,140910,0.635,Master's degree,false
19-1041.00,Epidemiologists,Science,65,5,96,narrow,0.671,65,88,70,73,73,74,23,16.2,83980,0.442,Master's degree,false
17-2141.00,Mechanical engineers,Architecture & engineering,65,5,96,narrow,0.679,65,90,71,72,74,74,25,9.1,102320,0.453,Bachelor's degree,false
25-1072.00,"Nursing instructors and teachers, postsecondary",Education,65,5,96,wide,0.708,65,87,72,75,74,75,22,16.8,79940,0.402,Doctoral or professional degree,false
29-1021.00,"Dentists, general",Healthcare,64,5,95,wide,0.794,64,83,81,75,72,75,19,4.1,172790,0.25,Doctoral or professional degree,false
13-2061.00,Financial examiners,Business & finance,64,5,95,none,0.53,64,90,62,71,73,72,28,18.5,90400,0.5,Bachelor's degree,false
53-2031.00,Flight attendants,Transportation,64,5,95,wide,0.751,64,78,76,85,73,75,21,9.2,67130,0.167,High school diploma or equivalent,false
29-2092.00,Hearing aid specialists,Healthcare,64,5,95,wide,0.788,64,77,76,84,72,75,20,18.4,61560,0.2,High school diploma or equivalent,false
15-1212.00,Information security analysts,Computer & math,64,5,95,none,0.394,64,97,55,68,74,72,42,28.5,124910,0.652,Bachelor's degree,false
29-2035.00,Magnetic resonance imaging technologists,Healthcare,64,5,95,narrow,0.561,64,84,66,76,73,73,20,7.1,88180,0.322,Associate's degree,false
11-2021.00,Marketing managers,Management,64,5,95,narrow,0.597,64,91,67,69,73,73,27,6.6,161030,0.5,Bachelor's degree,false
31-9011.00,Massage therapists,Healthcare support,64,5,95,narrow,0.638,64,72,70,92,72,74,28,15.4,57950,0.074,Postsecondary nondegree award,false
13-2052.00,Personal financial advisors,Business & finance,64,5,95,none,0.508,64,90,62,71,73,72,28,9.6,102140,0.5,Bachelor's degree,false
49-2021.00,"Radio, cellular, and tower equipment installers and repairers",Installation & repair,64,5,95,wide,0.848,64,75,81,87,72,76,23,8.6,64190,0.107,Associate's degree,false
17-3021.00,Aerospace engineering and operations technologists and technicians,Architecture & engineering,63,5,94,narrow,0.6,63,82,67,76,72,72,19,8.1,79830,0.325,Associate's degree,false
29-1181.00,Audiologists,Healthcare,63,5,94,narrow,0.689,63,87,71,72,73,73,24,9.5,92120,0.455,Doctoral or professional degree,false
